epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.6939234808702176,0.696317595366527,0.768,0.7716088888888889
2,0.8089522380595149,0.8102489590571696,0.78,0.7835574323913581
3,0.8204551137784446,0.8215998249846944,0.828,0.8286132427843802
4,0.8454613653413353,0.8464744094864644,0.792,0.795235720527242
5,0.8774693673418354,0.8781232764670783,0.801,0.8033247939275336
6,0.8934733683420856,0.8939810636286794,0.814,0.8120139577081443
7,0.9249812453113279,0.9252076326490928,0.794,0.796598775806619
8,0.9444861215303826,0.9446295472746075,0.795,0.797611718185297
9,0.9517379344836209,0.951838809528958,0.784,0.787244740057011
10,0.972993248312078,0.9730307957276538,0.799,0.7991615295213762
11,0.9717429357339334,0.971775433254935,0.793,0.794965622478359
12,0.978494623655914,0.9785119975909932,0.801,0.8037184460097245
