epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.747,0.7491146375497554,0.6469661150512215,0.6430521457070475
2,0.8475,0.8484411629491133,0.7572892040977147,0.7584637921589542
3,0.86075,0.8613239717835504,0.7580772261623325,0.7596731377406348
4,0.88575,0.8862817604995703,0.7501970055161544,0.7510401938293145
5,0.89425,0.8946858888051019,0.7832939322301025,0.7855417326313919
6,0.913,0.9133703474622521,0.8124507486209613,0.8142516330649303
7,0.924,0.9242959536658166,0.7706855791962175,0.7728150906466308
8,0.945,0.9451885506114744,0.7210401891252955,0.720506606418684
9,0.964,0.9640919547905642,0.7289204097714737,0.7294806863572972
10,0.97475,0.9747978443336044,0.706855791962175,0.7049174509061533
11,0.985,0.9850165623734274,0.7265563435776202,0.7269109057202622
12,0.98875,0.9887605995606372,0.7691095350669819,0.7711855401445938
13,0.98775,0.987761541743805,0.7793538219070134,0.781653241774257
14,0.99475,0.9947520631256611,0.7651694247438928,0.7674604032990532
15,0.99575,0.9957516701493448,0.7013396375098503,0.6985136082859794
