epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.8613418530351438,0.8626914940218599,0.9168797953964194,0.9174459392048648
2,0.9169329073482428,0.917271350475683,0.907928388746803,0.9089492574523416
3,0.9453674121405751,0.9455709860202078,0.8785166240409207,0.8805101437884622
4,0.9584664536741214,0.9585578130657796,0.9104859335038363,0.911310307667553
5,0.973482428115016,0.9735225552333756,0.9130434782608695,0.9138870590335788
6,0.9817891373801917,0.9818138686019724,0.9143222506393862,0.9148565806063261
7,0.9722044728434505,0.9722718534866569,0.9194373401534527,0.9196358116953169
8,0.9920127795527156,0.9920173137076262,0.8989769820971867,0.9003552846392064
9,0.9926517571884984,0.9926559286110161,0.90153452685422,0.9023659565884348
10,0.9958466453674122,0.9958483345277339,0.9130434782608695,0.9135602994298647
11,0.9996805111821087,0.9996805373246603,0.9156010230179028,0.9161026435642804
12,0.9996805111821087,0.9996805373246603,0.921994884910486,0.9222391610824975
13,1.0,1.0,0.921994884910486,0.9222900353507554
14,1.0,1.0,0.921994884910486,0.9222391610824975
15,1.0,1.0,0.921994884910486,0.9222391610824975
16,1.0,1.0,0.921994884910486,0.9222391610824975
17,1.0,1.0,0.9207161125319693,0.9209904033084347
18,1.0,1.0,0.9194373401534527,0.9197421676573377
19,1.0,1.0,0.921994884910486,0.9222391610824975
20,1.0,1.0,0.921994884910486,0.9222391610824975
21,1.0,1.0,0.9207161125319693,0.9209904033084347
22,1.0,1.0,0.9194373401534527,0.9197421676573377
