epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.45161290322580644,0.43792521845564497,0.6016830294530154,0.5907584078957515
2,0.5715287517531557,0.5701258889367935,0.6451612903225806,0.6394204688923084
3,0.64726507713885,0.6485728031931598,0.6143057503506312,0.6188149921823471
4,0.7051192145862553,0.707168128490814,0.6269284712482468,0.6138381147750718
5,0.8131136044880786,0.8136968574776984,0.605890603085554,0.5964306753910453
6,0.884992987377279,0.8853408246316976,0.6241234221598878,0.6176779154639486
7,0.935133239831697,0.9352424482388227,0.603085553997195,0.6059263223937512
8,0.976507713884993,0.9765469173730033,0.6213183730715287,0.6189388106005603
9,0.9814165497896213,0.9814210684454058,0.6227208976157083,0.6241775279086238
10,0.9737026647966339,0.973709401454315,0.603085553997195,0.6079883654701587
11,0.9838709677419355,0.9838871954417183,0.5792426367461431,0.5745016479417218
