epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.25210084033613445,0.26571659618672683,0.23595505617977527,0.1934645646430334
2,0.37254901960784315,0.36746701686568484,0.39325842696629215,0.3762889008152953
3,0.48739495798319327,0.5022931331365742,0.6404494382022472,0.5370496412751191
4,0.6498599439775911,0.681420146726875,0.7640449438202247,0.7047981215959023
5,0.8487394957983193,0.846350490460512,0.7640449438202247,0.7379421043892178
6,0.9215686274509803,0.9235165739241867,0.7752808988764045,0.7385350193790863
7,0.9523809523809523,0.9530919526293102,0.8089887640449438,0.7690040462891884
8,0.9663865546218487,0.9667100728510659,0.8202247191011236,0.8039073946542553
9,0.9803921568627451,0.9806642408901545,0.8089887640449438,0.7939768647303346
10,0.9915966386554622,0.9916039848446265,0.8314606741573034,0.8024444257962149
11,1.0,1.0,0.797752808988764,0.7351000348563184
12,1.0,1.0,0.8089887640449438,0.7853640175694003
13,1.0,1.0,0.8202247191011236,0.8010368446133528
14,1.0,1.0,0.8202247191011236,0.7831931808284043
15,1.0,1.0,0.8202247191011236,0.7800116625378152
16,1.0,1.0,0.8089887640449438,0.7847835383174272
17,1.0,1.0,0.8089887640449438,0.7575961083128847
