epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.12379353755770038,0.08601151194249683,0.13277310924369748,0.08020045396900782
2,0.12421317666806546,0.09245866157538307,0.12941176470588237,0.08515453462622144
3,0.1439362148552245,0.12355713248152828,0.13949579831932774,0.10173148378161281
4,0.1565253881661771,0.1487379669368973,0.15294117647058825,0.1286690248794909
5,0.17750734368443138,0.18004334847941048,0.17142857142857143,0.16662121084643056
6,0.20184641208560639,0.21556801249681398,0.18823529411764706,0.19750337825534547
7,0.2161141418380193,0.24920817644119542,0.21176470588235294,0.23231929782953614
8,0.23835501468736886,0.27505356285696064,0.24369747899159663,0.2778375310786651
9,0.26898866974402014,0.3148649634773337,0.3058823529411765,0.35644050637124586
10,0.31179185900125894,0.36182345691963136,0.33277310924369746,0.3908140369674884
11,0.3256399496433068,0.377136654585921,0.37142857142857144,0.4323987516709486
12,0.3340327318506085,0.38540815194450717,0.39663865546218485,0.4565925429815439
13,0.3604699958036089,0.4156205696202196,0.43025210084033616,0.4873573849305917
14,0.38690725975660933,0.44015708018387967,0.4722689075630252,0.5260721718093275
15,0.39530004196391105,0.4464481011131406,0.4789915966386555,0.5329091022124912
16,0.4078892152748636,0.4577682063829808,0.4823529411764706,0.5342270988275863
17,0.4204783885858162,0.4726910282331815,0.5109243697478991,0.5580541923077058
18,0.4435585396558959,0.4918553096428233,0.5092436974789916,0.557906767423844
19,0.4418799832144356,0.4897159339275939,0.5226890756302521,0.5682402552074644
20,0.4393621485522451,0.48834215114281165,0.5294117647058824,0.5743838623530537
21,0.4767100293747377,0.5227826488674961,0.5445378151260504,0.5855028509356484
22,0.48216533780948384,0.5252209061025896,0.5579831932773109,0.5961858257734334
23,0.4813260595887537,0.5241509574291934,0.573109243697479,0.606953722167543
24,0.49979018044481743,0.5402780433503587,0.5831932773109244,0.6164193015252719
25,0.5132186319765002,0.5528816199031452,0.5915966386554622,0.6202964295744038
26,0.5291649181703735,0.5656763608869316,0.6033613445378151,0.6286729532802521
27,0.5312631137221989,0.5691106920000615,0.6050420168067226,0.6325506320838976
28,0.5371380612673101,0.5747180245246031,0.6168067226890757,0.6418972953396629
29,0.5446915652538816,0.5781736131460117,0.6100840336134454,0.639406671759613
30,0.5501468736886278,0.5889732171437078,0.6151260504201681,0.6427407397122398
31,0.5593789341166596,0.592147678232352,0.6218487394957983,0.650930766618218
32,0.5618967687788502,0.5964800658392164,0.626890756302521,0.6536794185084349
33,0.5606378514477549,0.5963242985294421,0.6218487394957983,0.65051347370935
34,0.5660931598825011,0.5983845813318889,0.6302521008403361,0.6556069075100217
35,0.5677717163239614,0.6022104726584595,0.6369747899159663,0.6605169621691632
36,0.5774234158623583,0.6083874160480607,0.6436974789915967,0.6653623054954754
37,0.580360889634914,0.6103372888886325,0.6453781512605042,0.6676892573080784
38,0.5828787242971045,0.6148309108859095,0.6470588235294118,0.6694714749438281
39,0.5979857322702475,0.6289438218827313,0.6453781512605042,0.6688060815861226
40,0.5979857322702475,0.6270272284496011,0.6487394957983194,0.6713358172246817
41,0.614351657574486,0.6431327342722307,0.6521008403361345,0.6738029992587682
42,0.6130927402433907,0.6412661200770683,0.6504201680672269,0.6713581190413186
43,0.6042803189257239,0.6291480442362175,0.6470588235294118,0.6694029190623618
44,0.599664288711708,0.6292424436577544,0.6504201680672269,0.6724544111727878
45,0.619387326898867,0.6458865799973037,0.6521008403361345,0.6734080674256693
46,0.6172891313470416,0.6438175618214527,0.6571428571428571,0.6765512625002008
47,0.6202266051195972,0.6460990768013588,0.6571428571428571,0.6769724930701146
48,0.6181284095677717,0.6432667308143344,0.6588235294117647,0.6775282047564425
49,0.6206462442299623,0.6465734899385729,0.6638655462184874,0.6824485085273082
50,0.6240033571128829,0.6485730497860754,0.6705882352941176,0.6865599143812581
51,0.6311372219890894,0.6539911084231929,0.66890756302521,0.687547557490956
52,0.6323961393201847,0.6578095940426943,0.6705882352941176,0.6882411575101574
53,0.6281997482165338,0.6525744790475485,0.6722689075630253,0.688896994903438
54,0.6256819135543432,0.6513946877303358,0.6739495798319328,0.6914480858199967
55,0.6382710868652959,0.6634226171660538,0.6773109243697479,0.6927395904633693
56,0.6579941250524549,0.6787296675692555,0.680672268907563,0.696482494317291
57,0.6365925304238355,0.6606061847215722,0.6823529411764706,0.6977551826023819
58,0.6546370121695342,0.6759364331786427,0.6857142857142857,0.7002451980576716
59,0.6529584557280739,0.6745905119980755,0.6857142857142857,0.7013545964492836
60,0.6546370121695342,0.6767290503224306,0.6857142857142857,0.7018638943683688
61,0.6563155686109945,0.6784455059940585,0.6857142857142857,0.7018638943683688
62,0.653797733948804,0.676139478191269,0.6857142857142857,0.701579801629915
