epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.4368900455432661,0.4567931756081365,0.4270833333333333,0.4471030770806134
2,0.5133376707872479,0.5297246356534581,0.53515625,0.542464778255695
3,0.5777488614183475,0.5869130566466954,0.6184895833333334,0.6145791288829506
4,0.6363044892648015,0.6369263427179551,0.6783854166666666,0.6695346872704543
5,0.6561483409238776,0.6617978374751416,0.703125,0.7047052635464345
6,0.6938841899804814,0.6972889135569201,0.73828125,0.7387131248984561
7,0.7176317501626546,0.7187376804289319,0.76171875,0.760180913496248
8,0.7342225113858165,0.7377881979573493,0.7799479166666666,0.7790605519130227
9,0.7530904359141184,0.7560096383322197,0.7838541666666666,0.7838541666666666
10,0.7674040338321405,0.7669606853252628,0.7877604166666666,0.7881106435743699
11,0.7791151594014314,0.7781587051204069,0.7903645833333334,0.790247111427667
12,0.7774886141834743,0.7780553668952336,0.7942708333333334,0.7953659282470905
13,0.7872478854912166,0.7908528579628588,0.79296875,0.793751126740662
14,0.7931034482758621,0.793398923212443,0.8072916666666666,0.8063994701654247
15,0.7878985035783995,0.7900812960364313,0.7994791666666666,0.8005465376585565
16,0.7983083929733247,0.7996834145394774,0.80078125,0.8008918543458856
17,0.7992843201040989,0.7997677122039087,0.8033854166666666,0.8034945752041094
18,0.7976577748861419,0.7986134296565705,0.8020833333333334,0.8025167636507738
19,0.8054651919323357,0.8063319337729672,0.7955729166666666,0.7973623706692895
20,0.8015614834092388,0.8038845911950941,0.7942708333333334,0.7963592615663836
21,0.7986337020169161,0.8009206348288596,0.79296875,0.795886049944836
22,0.802537410540013,0.8048720032511956,0.7942708333333334,0.7969082052899132
23,0.8031880286271958,0.8066227501985117,0.79296875,0.7963870878589981
