epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7900223380491437,0.7909797872576981,0.8928571428571429,0.8934378517888032
2,0.9069247952345495,0.9071048304993602,0.9077380952380952,0.9084603864965191
3,0.9262844378257632,0.9263723998184309,0.9196428571428571,0.9198688172013324
4,0.9367088607594937,0.9367681387633945,0.9136904761904762,0.9140851679120301
5,0.9478778853313478,0.9479334231404565,0.9017857142857143,0.903207182153437
6,0.9650037230081906,0.9650085333580023,0.9196428571428571,0.9201446701446702
7,0.9709605361131795,0.9709565090599067,0.9255952380952381,0.9256666874519341
8,0.9791511541325391,0.9791679674871218,0.9315476190476191,0.9314802964858955
9,0.9851079672375279,0.9851120429761709,0.8928571428571429,0.8944668612637362
10,0.9761727475800447,0.9761856737567645,0.9285714285714286,0.927961796382849
11,0.9910647803425168,0.9910622912236623,0.9136904761904762,0.9140851679120301
12,0.9918093819806404,0.9918082461451019,0.8898809523809523,0.8914747193841566
13,0.9940431868950111,0.9940431868950111,0.9136904761904762,0.9140851679120301
14,0.9955323901712584,0.9955323901712584,0.9077380952380952,0.9084603864965191
15,0.9932985852568875,0.9932995063877026,0.9345238095238095,0.9342569786535305
16,0.9955323901712584,0.9955323901712584,0.9136904761904762,0.9140851679120301
17,0.996276991809382,0.9962775035487238,0.9196428571428571,0.9197200224480888
18,0.996276991809382,0.9962775035487238,0.9255952380952381,0.9252117874566854
19,0.996276991809382,0.9962775035487238,0.9285714285714286,0.9281245608611337
20,0.9977661950856291,0.9977665021292343,0.9107142857142857,0.9113435400205738
21,0.9985107967237528,0.9985107967237528,0.9136904761904762,0.9140851679120301
22,0.9985107967237528,0.9985107967237528,0.9196428571428571,0.9198688172013324
23,0.9985107967237528,0.9985107967237528,0.9285714285714286,0.9285714285714286
24,0.9992553983618764,0.9992552951041002,0.9047619047619048,0.9054331093552788
