epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7630979498861048,0.7690982545179791,0.9024707412223667,0.9023125170617438
2,0.8883826879271071,0.8892812766260609,0.9128738621586476,0.9126360729446958
3,0.9375203384315002,0.9379834035774067,0.9128738621586476,0.912335954669615
4,0.9648551903677188,0.9650606265062612,0.9076723016905072,0.9077213013502624
5,0.977871786527823,0.9779714849332959,0.9076723016905072,0.9053778104147507
6,0.9856817442238854,0.9857186214685637,0.9063719115734721,0.9055115413600949
7,0.9866579889358933,0.9867053323644757,0.8699609882964889,0.8733579253585882
8,0.9873088187438984,0.9873397249515983,0.8439531859557867,0.8489480398936958
9,0.9967458509599739,0.9967486833933117,0.8972691807542262,0.8990343408082491
10,0.9925154572079401,0.9925336839458143,0.9063719115734721,0.9063719115734721
11,0.9970712658639765,0.997073392620403,0.9050715214564369,0.9062711679503546
