epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.5882352941176471,0.6029936973549342,0.8958333333333334,0.904338287792488
2,0.9262844378257632,0.9303219147185147,0.9226190476190477,0.9254013279330793
3,0.9508562918838421,0.9529007604806207,0.9166666666666666,0.92671918767507
4,0.9709605361131795,0.9718851050669599,0.9375,0.9368836575634188
5,0.9806403574087863,0.9808154622065877,0.9523809523809523,0.9536737084085196
6,0.9836187639612807,0.9839224216716985,0.9285714285714286,0.928644136090144
7,0.9880863737900223,0.9881445155996569,0.9315476190476191,0.927077981817659
8,0.9940431868950111,0.9940445907177081,0.9345238095238095,0.9300595238095238
9,0.996276991809382,0.9962792347133897,0.9434523809523809,0.9368189307760069
10,1.0,1.0,0.9345238095238095,0.9294250301868031
11,0.9940431868950111,0.9941094605358647,0.9404761904761905,0.9386530396042092
12,1.0,1.0,0.9315476190476191,0.9264509888342664
13,1.0,1.0,0.9375,0.9317916279789539
14,1.0,1.0,0.9375,0.9317916279789539
