epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.30014025245441794,0.3003616793301509,0.4417952314165498,0.40754117294625725
2,0.5035063113604488,0.4977388499281872,0.5315568022440392,0.5223007386613967
3,0.5462833099579243,0.5449147265657109,0.49228611500701264,0.4834175100527111
4,0.5887096774193549,0.587054924273811,0.5189340813464236,0.5274173384361198
5,0.6574333800841514,0.6574333439588859,0.5105189340813464,0.5219283171582154
6,0.7121318373071529,0.7129437914801386,0.5077138849929874,0.4888620659851811
7,0.7692847124824684,0.7694221612658987,0.5091164095371669,0.4979387991024173
8,0.8011921458625526,0.8015443104895978,0.4992987377279102,0.5008011934385329
9,0.8611500701262272,0.8616488809964871,0.47545582047685836,0.46860226043468345
10,0.8976157082748948,0.897836262929837,0.47124824684431976,0.4687276261222412
11,0.9232117812061711,0.9231397946446247,0.4908835904628331,0.4904137889104947
12,0.9463534361851332,0.9463636481456488,0.47124824684431976,0.4822032395521926
13,0.9456521739130435,0.9456895506773098,0.4908835904628331,0.49544387075165025
