epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.36255259467040674,0.35672576035077913,0.5287517531556802,0.5369434931851074
2,0.5210378681626928,0.5147636648749343,0.5371669004207573,0.5258671708110814
3,0.5645161290322581,0.561959156812608,0.5708274894810659,0.5623826839534248
4,0.6209677419354839,0.6213467430922455,0.5245441795231417,0.4762397833785727
5,0.6938990182328191,0.6937135894869704,0.5161290322580645,0.4983226651603352
6,0.7521037868162693,0.7523263870873167,0.5638148667601683,0.5451871317860757
7,0.826437587657784,0.8269292494388768,0.5596072931276297,0.561477069283957
8,0.876577840112202,0.8771673558779278,0.49228611500701264,0.4887766846985638
9,0.9119915848527349,0.9120470153217697,0.48807854137447404,0.494588636558958
10,0.9379382889200562,0.9380149536927039,0.5217391304347826,0.481999436947914
11,0.9509116409537167,0.9509612581759497,0.5315568022440392,0.5343209155589734
12,0.958625525946704,0.9586131591546958,0.5301542776998598,0.5273891366909488
