epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.662716049382716,0.6670764142508232,0.7806324110671937,0.7839047563583117
2,0.7654320987654321,0.7678920716765265,0.8399209486166008,0.8340240079516782
3,0.8108641975308643,0.8121853742541723,0.8359683794466403,0.8355521176837791
4,0.8024691358024691,0.8044034094415062,0.7509881422924901,0.7595013681970204
5,0.802962962962963,0.8049053654232542,0.8201581027667985,0.8130605994791907
6,0.8054320987654321,0.8065290249433107,0.8280632411067194,0.8304189920939116
7,0.8281481481481482,0.8296377353241652,0.8201581027667985,0.815314194351142
8,0.8261728395061728,0.8274313823289167,0.8241106719367589,0.8280333646296826
9,0.802962962962963,0.8048793330083106,0.7569169960474308,0.7651731325579362
10,0.8153086419753086,0.8167372981353708,0.8063241106719368,0.8121169635365219
11,0.8325925925925926,0.8342429044573512,0.8379446640316206,0.8409997253501785
12,0.8306172839506173,0.8324533518117336,0.8596837944664032,0.858569792039331
13,0.8118518518518518,0.8134966616296392,0.8517786561264822,0.8470701553476051
14,0.8390123456790124,0.8403342516069788,0.8359683794466403,0.8343544800283221
15,0.837037037037037,0.8381893201645555,0.7964426877470355,0.8030269894745212
16,0.8562962962962963,0.8573487924953972,0.83399209486166,0.8371216698709146
17,0.8350617283950618,0.8364160737323034,0.8458498023715415,0.8470378841569487
18,0.84,0.8413628441965841,0.8458498023715415,0.8472548065574402
19,0.831604938271605,0.8328938654215519,0.8438735177865613,0.847999032207891
20,0.8266666666666667,0.8279933922667588,0.8399209486166008,0.8439047995008213
21,0.8409876543209877,0.8422432366237853,0.849802371541502,0.8517666157372039
