epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.8756810302129767,0.8799397173950383,0.9580498866213152,0.9583145182033375
2,0.9539375928677564,0.9545912093659845,0.9138321995464853,0.9104931017594239
3,0.9479940564635958,0.9487320105744986,0.963718820861678,0.9633678012988357
4,0.9737493808816245,0.9739921551000663,0.9421768707482994,0.9409190029464639
5,0.9895988112927192,0.9896340900338532,0.9625850340136054,0.9628464316356592
6,0.9920752847944527,0.9920997606312417,0.9387755102040817,0.9374085405280317
7,0.9955423476968797,0.9955492885386577,0.9387755102040817,0.9375474608448031
8,0.9846458642892522,0.9847255558632966,0.9160997732426304,0.9128485464499654
9,0.9910846953937593,0.9911067964450311,0.9614512471655329,0.9609645484209943
10,0.9925705794947994,0.9925821475644293,0.95578231292517,0.9557285168038425
11,0.9975235264982665,0.9975273825214764,0.9387755102040817,0.9373375557819273
12,1.0,1.0,0.9421768707482994,0.9409190029464639
